title,number of ratings
Girls Just Want to Have Fun,4
Girls Will Be Girls,1
Gladiator,161
Gladiator 1992,11
Glen Campbell: I'll Be Me,1
Glen or Glenda,4
Glengarry Glen Ross,27
Glitter,3
Gloria,3
Glory,58
Glory Road,1
Gnomeo & Juliet,1
Go,50
Go Fish,5
Go West,4
God Bless America,2
"God Said, 'Ha!'",2
Gods and Generals,1
Gods and Monsters,23
Godsend,2
Godzilla,46
Godzilla 1985,4
Godzilla 2000,4
Godzilla vs. Mechagodzilla II,1
Going Clear: Scientology and the Prison of Belief,4
Going My Way,4
Going Places,1
Going the Distance,2
Gold Diggers: The Secret of Bear Mountain,3
GoldenEye,122
Goldfinger,53
Gomorrah,3
Gone,1
Gone Baby Gone,14
Gone Fishin',3
Gone Girl,25
Gone in 60 Seconds,1
Gone in Sixty Seconds,56
Gone with the Wind,68
Gonzo: The Life and Work of Dr. Hunter S. Thompson,1
Good Burger,2
Good Hair,2
Good Luck Chuck,2
"Good Morning, Babylon",1
"Good Morning, Vietnam",53
"Good Night, and Good Luck.",27
Good Will Hunting,157
"Good bye, Lenin!",21
GoodFellas,131
Goodbye Lover,1
"Goodbye, Columbus",1
"Goodbye, Mr. Chips",1
Goon,3
Goosebumps,1
Gordy,1
Gorillas in the Mist,5
Gorky Park,3
Gosford Park,29
Gossip,1
Gotcha!,2
Gothic,2
Gothika,3
Goya in Bordeaux,1
Gozu,3
Grace,1
Grace of My Heart,4
Gracie,1
Gran Torino,36
Grand Canyon,17
Grand Hotel,7
Grand Illusion,12
Grandma's Boy,3
Grave Encounters 2,1
Grave of the Fireflies,14
Graveyard Shift,4
Gravity,29
Gray Matters,1
Gray's Anatomy,1
Grease,90
Grease 2,19
Great Expectations,15
Greed,2
Green Card,6
Green Lantern,10
Green Room,1
Green Street Hooligans,10
Green Zone,7
Green for Danger,1
Greenberg,4
Gregory's Girl,3
Gremlins,47
Gremlins 2: The New Batch,21
Grey Gardens,4
"Greystoke: The Legend of Tarzan, Lord of the Apes",1
Gridlock'd,3
Grill Point,1
Grimsby,1
Grizzly Man,10
Groove,1
Gross Anatomy,1
Grosse Pointe Blank,64
Groundhog Day,165
Grown Ups,5
Grown Ups 2,2
Grudge Match,1
Grumpier Old Men,59
Grumpy Old Men,31
Guadalcanal Diary,1
Guantanamera,1
Guardians of the Galaxy,37
Guarding Tess,1
Guerrilla: The Taking of Patty Hearst,2
Guess Who,1
Guess Who's Coming to Dinner,18
Guilty as Sin,7
Guinevere,2
Gulliver's Travels,7
Gumby: The Movie,1
Gummo,3
Gun Crazy,2
Gun Shy,1
Gunfight at the O.K. Corral,1
Gung Ho,8
Gunga Din,3
Gunner Palace,1
Guys and Dolls,18
Gypsy,6
H.G. Wells' War of the Worlds,1
H.O.T.S.,2
Hachi: A Dog's Tale,5
Hackers,26
Hail the Conquering Hero,1
"Hail, Caesar!",1
Hair,1
Hairspray,30
Half Baked,10
Half Moon Street,2
Half Nelson,6
Half Past Dead,2
Hall Pass,5
Halloween,27
Halloween 4: The Return of Michael Myers,5
Halloween 5: The Revenge of Michael Myers,2
Halloween II,9
Halloween III: Season of the Witch,8
Halloween: H20,10
Halloween: The Curse of Michael Myers,9
Halo 4: Forward Unto Dawn,1
Hamlet,43
Hamlet from the Lunt-Fontanne Theatre,2
Hancock,19
Hands in the Air,1
Hands on a Hard Body: The Documentary,3
Hang 'em High,3
Hanging Up,6
Hangmen Also Die!,1
Hanna,8
Hannah and Her Sisters,15
Hannibal,33
Hannibal Rising,2
Hans Christian Andersen,4
Hansel & Gretel: Witch Hunters,2
Happenstance,1
Happiness,23
Happy,1
Happy Accidents,3
Happy Endings,2
Happy Feet,3
Happy Gilmore,94
"Happy, Texas",6
Happy-Go-Lucky,3
Harakiri,2
Hard Boiled,10
Hard Candy,6
Hard Core Logo,1
Hard Eight,11
Hard Rain,7
Hard Target,9
Hardball,1
Hardcore,1
Harlan County U.S.A.,2
Harlem Nights,1
Harley Davidson and the Marlboro Man,4
Harold & Kumar Escape from Guantanamo Bay,6
Harold & Kumar Go to White Castle,22
Harold and Maude,44
Harper,1
Harriet the Spy,12
Harry Brown,3
Harry Potter and the Chamber of Secrets,81
Harry Potter and the Deathly Hallows: Part 1,33
Harry Potter and the Deathly Hallows: Part 2,34
Harry Potter and the Goblet of Fire,59
Harry Potter and the Half-Blood Prince,29
Harry Potter and the Order of the Phoenix,38
Harry Potter and the Philosopher's Stone,105
Harry Potter and the Prisoner of Azkaban,84
Harry and Tonto,1
Harry and the Hendersons,9
"Harry, He's Here To Help",1
Harsh Times,1
Hart's War,4
Harum Scarum,1
Harvey,19
Harvie Krumpet,1
Hatari!,3
Hated:  GG Allin & the Murder Junkies,1
Haunt,1
Haunted,1
Haunted Honeymoon,2
Hav Plenty,2
Havana,1
Hawk the Slayer,1
Haywire,2
He Got Game,4
He Loves Me... He Loves Me Not,1
He Ran All The Way,1
He Walked by Night,1
He's Just Not That Into You,8
Head On,2
Head Over Heels,2
Head of State,1
Head-On,1
Headhunters,3
Hear My Song,3
Heart Condition,1
Heart and Souls,5
Heartbreak Ridge,3
Heartbreakers,10
Heartburn,5
Heartless,1
Hearts and Minds,3
Hearts in Atlantis,2
Hearts of Darkness: A Filmmaker's Apocalypse,8
Hearts of the West,1
Heat,104
Heathers,61
Heaven,2
Heaven & Earth,5
Heaven Can Wait,23
"Heaven Knows, Mr. Allison",3
Heaven's Prisoners,4
Heavenly Creatures,43
Heavy,1
Heavy Metal,33
Heavyweights,4
Hedwig and the Angry Inch,7
Heidi,3
Heidi Fleiss: Hollywood Madam,4
Heist,7
Helen of Troy,1
Hell Night,2
Hell in the Pacific,1
Hellbound: Hellraiser II,4
Hellboy,28
Hellboy II: The Golden Army,18
Hellboy: The Seeds of Creation,1
Hello Ladies: The Movie,1
Hello Mary Lou: Prom Night II,2
"Hello, Dolly!",4
"Hello, My Name Is Doris",1
Hellraiser,11
Hellraiser III: Hell on Earth,3
Hellraiser: Bloodline,7
Hells Angels on Wheels,1
Help!,11
Helter Skelter,1
Helvetica,2
Henry & June,3
Henry Fool,4
Henry Poole Is Here,1
Henry V,23
Henry's Crime,1
Henry: Portrait of a Serial Killer,8
Her,25
Her Alibi,3
Herbie Fully Loaded,2
Herbie Goes Bananas,6
Herbie Goes To Monte Carlo,4
Herbie Rides Again,9
Hercules,34
Hercules in New York,1
Here Comes the Boom,2
Here On Earth,2
Hereafter,2
Hero,46
Hesher,1
Hester Street,1
Hey Arnold! The Movie,1
Hidalgo,7
Hide and Seek,1
Hideaway,5
Hideous Kinky,4
Hiding Out,1
High Anxiety,2
High Art,7
High Crimes,3
High Fidelity,88
High Hopes,1
High Noon,21
High Plains Drifter,9
High School High,4
High School Musical,4
High School Musical 2,3
High School Musical 3: Senior Year,3
High Sierra,3
High Society,3
High Spirits,1
High Tension,2
High and Low,2
Higher Learning,7
Highlander,49
Highlander II: The Quickening,5
Highlander: Endgame,5
Highlander: The Final Dimension,16
Hilary and Jackie,7
Hillbillys in a Haunted House,1
Himalaya,4
Hiroshima Mon Amour,3
His Girl Friday,26
History of the World: Part I,18
Hitch,24
Hitchcock,1
Hitman,3
Hitman: Agent 47,2
Hobo with a Shotgun,2
Hobson's Choice,2
Hocus Pocus,7
Hoffa,1
Holding Trevor,1
Holes,8
Holiday,4
Holiday Inn,11
Hollow Man,30
Hollow Reed,2
Hollywood Ending,1
Hollywood Homicide,1
Hollywood Shuffle,5
Hollywoodland,3
Holy Man,5
Holy Motors,1
Holy Smoke!,6
Home,3
Home Alone,129
Home Alone 2: Lost in New York,31
Home Alone 3,9
Home Alone 4,1
Home Fries,8
Home for the Holidays,14
Home on the Range,1
Homegrown,3
Homeward Bound II: Lost in San Francisco,14
Homeward Bound: The Incredible Journey,23
Homicide,1
Honey,2
Honey I Blew Up the Kid,17
"Honey, I Shrunk the Kids",76
Honeymoon,1
Honeymoon in Vegas,17
Honeysuckle Rose,2
Honkytonk Man,1
Hood of Horror,1
Hoodlum,4
Hoodwinked!,3
Hook,43
Hoop Dreams,61
Hoosiers,27
Hop,1
Hope Floats,15
Hope and Glory,6
Hopscotch,3
Horns,1
Horrible Bosses,11
Horrible Bosses 2,1
Horror Express,2
Horror of Dracula,2
Horse Feathers,9
Horton Hears a Who!,8
Hostage,9
Hostel,8
Hostel: Part II,3
Hostel: Part III,1
Hot Dog... The Movie,1
Hot Fuzz,42
Hot Lead & Cold Feet,1
Hot Pursuit,1
Hot Rod,2
Hot Shots!,11
Hot Shots! Part Deux,59
Hot Tub Time Machine,10
Hotel Chevalier,1
Hotel Rwanda,32
Hotel Transylvania,5
Hotel Transylvania 2,2
Hotel de Love,1
House,8
House Arrest,2
House II: The Second Story,2
House Party,6
House Party 2,2
House Party 3,3
House of 1000 Corpses,4
House of Flying Daggers,17
House of Frankenstein,1
House of Games,8
House of Sand and Fog,10
House of Usher,2
House of Wax,4
House of the Dead,1
House on Haunted Hill,17
House on the Edge of the Park,1
Houseboat,1
Housebound,2
Houseguest,13
Housesitter,1
How Do You Know,2
How Green Was My Valley,8
How High,2
How I Got Into College,1
How I Killed My Father,1
How Stella Got Her Groove Back,6
How To Make An American Quilt,12
How the Grinch Stole Christmas,29
How the Grinch Stole Christmas!,13
How the West Was Won,4
How to Be Single,1
How to Get Ahead in Advertising,1
How to Lose Friends & Alienate People,2
How to Lose a Guy in 10 Days,15
How to Make Love to a Woman,1
How to Marry a Millionaire,7
How to Steal a Million,2
How to Stuff a Wild Bikini,3
How to Succeed in Business Without Really Trying,1
How to Survive a Plague,1
How to Train Your Dragon,33
How to Train Your Dragon 2,8
Howard the Duck,12
Howards End,17
Howl,1
Howl's Moving Castle,27
Howling II: Stirba - Werewolf Bitch,1
Hud,17
Hudson Hawk,5
Hugo,15
Hulk,16
Human Nature,3
Human Traffic,6
Hunger,3
Hurlyburly,4
Husbands and Wives,8
Hush,4
Hush!,1
"Hush... Hush, Sweet Charlotte",2
Hustle & Flow,2
Hustler White,1
Hyde Park on Hudson,1
Hyena Road,1
Hype!,1
Häxan,1
I Am Cuba,1
I Am Curious (Yellow),1
I Am David,1
I Am Legend,42
I Am Number Four,3
I Am Sam,14
I Am Trying to Break Your Heart,1
I Am Wrath,1
I Am a Fugitive from a Chain Gang,2
I Bury the Living,1
I Can't Sleep,2
I Could Never Be Your Woman,1
I Don't Know How She Does It,2
I Dreamed of Africa,3
I Got the Hook Up,1
I Heart Huckabees,18
I Know That Voice,1
I Know What You Did Last Summer,30
I Know Where I'm Going!,2
I Love Trouble,12
I Love You Phillip Morris,4
"I Love You, Beth Cooper",1
"I Love You, Man",9
I Married a Strange Person!,1
I Never Promised You a Rose Garden,2
I Now Pronounce You Chuck & Larry,7
I Origins,2
I Saw What You Did,5
I Saw the Devil,4
I Sell The Dead,3
I Shot Andy Warhol,9
I Spit on Your Grave,1
I Spy,3
I Stand Alone,3
I Still Know What You Did Last Summer,13
I Think I Do,1
I Vitelloni,1
I Walked with a Zombie,1
I Want to Live!,1
"I Was Born, But...",1
I Was a Male War Bride,4
I Went Down,1
I'll Be Home for Christmas,1
I'll Do Anything,2
I'll See You in My Dreams,1
I'll Sleep When I'm Dead,1
I'm Gonna Git You Sucka,9
I'm No Angel,1
I'm Not Rappaport,1
I'm Not Scared,3
I'm Not There.,4
I'm Still Here,1
I've Loved You So Long,3
"I, Frankenstein",1
"I, Robot",57
I.Q.,41
INLAND EMPIRE,3
Ice Age,63
Ice Age: Continental Drift,1
Ice Age: Dawn of the Dinosaurs,6
Ice Age: The Great Egg-Scapade,1
Ice Age: The Meltdown,20
Ice Castles,2
Ice Princess,1
Ichi the Killer,7
Ida,1
Identity,23
Identity Thief,1
Idiocracy,11
Idiots and Angels,1
Idle Hands,7
If Lucy Fell,5
If....,3
Igby Goes Down,12
Igor,1
Ikiru,6
Il Divo,1
Illuminata,2
Ilsa: She Wolf of the SS,1
Imaginary Crimes,1
Imaginary Heroes,1
Imagine Me & You,2
Imagine: John Lennon,2
Imitation of Life,2
Immediate Family,1
Immortal Beloved,20
Immortals,2
Impostor,1
Impromptu,3
In & Out,25
In America,17
In Bruges,38
In China They Eat Dogs,2
In Cold Blood,4
In Dreams,5
In God's Hands,1
In Good Company,9
In Her Shoes,4
In July,2
In Love and War,4
In My Skin,1
In Old Chicago,1
In Praise Of Older Women,1
In Search of the Castaways,1
In This Our Life,1
In This World,2
In Time,9
In Too Deep,1
In a Lonely Place,3
In a World...,1
In the Army Now,3
In the Bedroom,10
In the City of Sylvia,1
In the Company of Men,14
In the Cut,2
In the Electric Mist,1
In the Heat of the Night,22
In the Land of Women,1
In the Line of Fire,80
In the Loop,10
In the Mood for Love,8
In the Mouth of Madness,10
In the Name of the Father,31
In the Name of the King: A Dungeon Siege Tale,2
In the Realm of the Senses,8
In the Realms of the Unreal,1
In the Valley of Elah,4
Inauguration of the Pleasure Dome,1
Incendies,3
Inception,111
Incident at Oglala,1
Indecent Proposal,15
Independence Day,218
Independence Day: Resurgence,2
Indestructible Man,1
Indiana Jones and the Kingdom of the Crystal Skull,24
Indiana Jones and the Last Crusade,147
Indiana Jones and the Temple of Doom,98
Indie Game: The Movie,2
Indiscreet,2
Indochine,6
Inequality for All,1
Inescapable,1
Infernal Affairs,3
Infernal Affairs II,1
Inferno,1
Infini,1
Inglourious Basterds,59
Inhale,1
Inherent Vice,3
Inherit the Wind,12
Ink,2
Inkheart,1
Innerspace,11
Innocence,1
Innocent Voices,1
Inside,1
Inside Deep Throat,1
Inside I'm Dancing,2
Inside Job,10
Inside Llewyn Davis,8
Inside Man,28
Inside Out,24
Insidious,4
Insomnia,32
Inspector Gadget,20
Instinct,4
Insurgent,3
Intacto,3
Interiors,6
Internal Affairs,3
Intersection,1
Interstate 60,3
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2
Interstellar,43
Interview with the Assassin,1
Interview with the Vampire,125
Intervista,1
Intimate Strangers,1
Into the Arms of Strangers: Stories of the Kindertransport,3
Into the Blue,2
Into the Grizzly Maze,1
Into the Wild,31
Into the Woods,7
Intolerable Cruelty,14
Introducing Dorothy Dandridge,1
Invasion U.S.A.,2
Invasion of the Body Snatchers,26
Inventing the Abbotts,7
Invictus,2
Invincible,1
Involuntary,1
Ip Man,12
Ip Man 2,4
Irina Palm,1
Iris,2
Irma la Douce,4
Iron Eagle,6
Iron Eagle II,4
Iron Eagle III,3
Iron Man,75
Iron Man 2,29
Iron Man 3,21
Iron Monkey,10
Iron Sky,1
Iron Will,5
Ironweed,1
Irrational Man,1
Irreversible,6
Is It College Yet?,1
Is It Fall Yet?,2
Ishtar,1
Ismael,1
Isn't She Great,1
It Came from Hollywood,3
It Came from Outer Space,2
It Could Happen to You,25
It Follows,6
It Had to Be You,1
It Happened One Night,25
It Might Get Loud,3
It Takes Two,2
It's All About Love,1
It's Complicated,4
It's Kind of a Funny Story,6
It's My Party,4
It's Pat,2
It's Such a Beautiful Day,2
It's a Boy Girl Thing,2
It's a Free World...,1
"It's a Mad, Mad, Mad, Mad World",7
It's a Very Merry Muppet Christmas Movie,1
It's a Wonderful Life,72
"It's the Great Pumpkin, Charlie Brown",5
Italian for Beginners,2
Ivan Vasilyevich Changes His Profession,1
Ivan's Childhood,1
J. Edgar,2
JFK,42
Jabberwocky,3
Jack,18
Jack & Sarah,1
Jack Frost,10
Jack Reacher,8
Jack Ryan: Shadow Recruit,3
Jack and Jill,2
Jack the Giant Slayer,2
Jack-Jack Attack,1
Jackass 3.5,2
Jackass 3D,4
Jackass Number Two,6
Jackass: The Movie,11
Jackie Brown,57
Jacob's Ladder,24
Jade,8
Jagged Edge,10
Jakob the Liar,6
Jamaica Inn,1
James and the Giant Peach,53
Jamon Jamon,1
Jane Austen's Mafia!,8
Jane Eyre,17
Jarhead,13
Jason Bourne,2
Jason Goes to Hell: The Final Friday,1
Jason X,4
Jason and the Argonauts,4
Jason's Lyric,3
Jawbreaker,3
Jaws,108
Jaws 2,27
Jaws 3-D,12
Jaws: The Revenge,6
Jay and Silent Bob Strike Back,31
Jazz,1
Jean de Florette,17
Jeepers Creepers,5
Jeepers Creepers 2,1
"Jeff, Who Lives at Home",4
Jefferson in Paris,4
Jeffrey,6
Jennifer Eight,6
Jennifer's Body,2
Jeremiah Johnson,6
Jerry Maguire,106
Jerry Seinfeld: I'm Telling You for the Last Time,1
Jersey Girl,6
Jesus Camp,6
Jesus Christ Superstar,8
Jesus of Montreal,2
Jesus' Son,7
Jezebel,4
Jimmy Neutron: Boy Genius,3
Jin-Roh: The Wolf Brigade,8
Jingle All the Way,11
Jiro Dreams of Sushi,4
Joan Rivers: A Piece of Work,2
Jobs,2
Jodorowsky's Dune,1
Joe Dirt,10
Joe Strummer: The Future Is Unwritten,1
Joe Versus the Volcano,10
Joe's Apartment,7
John Carter,8
John Dies at the End,2
John Q,5
John Tucker Must Die,1
John Wick,10
Johnny Be Good,2
Johnny Belinda,1
Johnny Dangerously,3
Johnny Eager,1
Johnny English,5
Johnny English Reborn,1
Johnny Guitar,3
Johnny Mnemonic,48
Johnny Stecchino,1
Johnny Suede,1
Johns,3
Joint Security Area,1
Joker,1
Jonah Hex,3
Jonah: A VeggieTales Movie,2
Jonestown: The Life and Death of Peoples Temple,2
Josie and the Pussycats,2
Journey 2: The Mysterious Island,1
Journey to the Center of the Earth,4
Joy,3
Joy Ride,3
Joyeux Noël,3
Joyful Noise,1
Ju Dou,1
Ju-on: The Grudge,4
Ju-on: The Grudge 2,1
Jubilee,1
Judas Kiss,1
Jude,4
Judge Dredd,70
Judgment Night,4
Judgment at Nuremberg,9
Jules and Jim,10
Julia,2
Julie & Julia,7
Julien Donkey-Boy,4
Juliet of the Spirits,1
Jumanji,107
Jump Tomorrow,1
Jumper,11
Jumpin' Jack Flash,15
Junebug,2
Jungle 2 Jungle,6
Jungle Book,5
Jungle Fever,6
Junior,42
Junk Mail,1
Juno,72
Jupiter Ascending,2
Jurassic Park,274
Jurassic Park III,31
Jurassic World,9
Jury Duty,4
Just Around the Corner,1
Just Before I Go,1
Just Cause,13
Just Friends,2
Just Go with It,3
Just Like Heaven,8
Just Married,2
Just My Luck,2
Just One of the Guys,1
Just Wright,1
Just Write,1
Justice League: Crisis on Two Earths,1
Justice League: The Flashpoint Paradox,1
Juwanna Mann,1
K-19: The Widowmaker,7
K-PAX,24
Kaboom,2
Kaena: The Prophecy,1
Kafka,2
Kagemusha,5
Kalifornia,32
Kama Sutra - A Tale of Love,3
Kamikaze Girls,1
Kandahar,3
Kangaroo Jack,4
Kansas,1
Kansas City,4
Karla,1
Kaspar Hauser,3
Kate & Leopold,10
Kazaam,8
Keanu,1
Keep the Aspidistra Flying,1
Keep the Lights On,1
Keep the River on Your Right: A Modern Cannibal Tale,2
Keeping Mum,3
Keeping the Faith,18
Kelly & Cal,1
Kelly's Heroes,9
Ken Park,3
Kenny,1
Key Largo,16
Keys to Tulsa,1
Kick-Ass,30
Kick-Ass 2,3
Kickboxer,3
Kicking & Screaming,2
Kicking and Screaming,6
Kidnapped,1
Kidnapping Mr. Heineken,1
"Kidnapping, Caucasian Style",1
Kids,23
Kids in America,1
Kids in the Hall: Brain Candy,17
Kika,2
Kiki's Delivery Service,18
Kikujiro,4
Kill Bill: Vol. 1,111
Kill Bill: Vol. 2,103
Kill Command,1
Kill List,2
Kill the Messenger,1
Killer,1
Killer Elite,3
Killer Joe,1
Killer's Kiss,2
Killers,4
Killing Them Softly,4
Killing Zoe,10
Kim,1
Kind Hearts and Coronets,5
Kindergarten Cop,13
King Arthur,8
King Creole,2
King Kong,57
King Kong Lives,3
King Kong vs. Godzilla,5
King Ralph,3
King Rat,1
King Solomon's Mines,5
King of Hearts,2
King of Kings,1
King of New York,5
King of the Hill,4
Kingdom of Heaven,10
Kingpin,60
Kings Row,1
Kingsglaive: Final Fantasy XV,1
Kingsman: The Secret Service,13
Kinsey,14
Kirikou and the Sorceress,1
Kismet,1
Kiss Kiss Bang Bang,29
Kiss Me Deadly,1
Kiss Me Kate,3
"Kiss Me, Guido",6
Kiss of Death,5
Kiss of the Dragon,6
Kiss of the Spider Woman,4
Kiss the Girls,20
Kissed,2
Kissing Jessica Stein,6
Kissing a Fool,1
Kite,1
Klute,15
Knife in the Water,4
Knight and Day,8
Knightriders,1
Knights of Badassdom,1
Knocked Up,24
Knockin' on Heaven's Door,1
Knowing,7
Koch,1
Kokowaah,1
Kolya,9
Kon-Tiki,1
Kops,2
Koyaanisqatsi,13
Kramer vs. Kramer,31
Krippendorf's Tribe,5
Kronos,1
Krull,7
Kull the Conqueror,4
Kummeli Stories,1
Kundun,5
Kung Fu Cult Master,1
Kung Fu Hustle,19
Kung Fu Panda,33
Kung Fu Panda 2,6
Kung Fu Panda 3,3
Kung Fu Panda: Secrets of the Furious Five,1
Kung Fury,6
Kung Pow: Enter the Fist,5
Kurt & Courtney,8
Kurt Cobain: About a Son,1
Kwaidan,1
L'Atalante,3
L'Avventura,3
L'Enfer,2
L'eclisse,1
L'Âge d'Or,1
L.A. Confidential,125
L.A. Story,39
L.I.E.,4
La Bamba,12
La Cage aux folles,4
La Cage aux folles II,1
La Chinoise,1
La Cérémonie,4
La Dolce Vita,8
La Femme Nikita,39
La Grande Bouffe,2
La Haine,8
La Jetée,4
La Luna,1
La Strada,5
La Vie en Rose,1
La séparation,1
Labyrinth,36
Labyrinth of Passion,1
Ladder 49,4
Lady Jane,2
Lady Sings the Blues,1
Lady Snowblood,2
Lady and the Tramp,51
Lady in the Water,2
Ladybird Ladybird,1
Ladyhawke,21
Lagaan: Once Upon a Time in India,4
Laggies,1
Lake Mungo,1
Lake Placid,21
Lake of Fire,1
Lakeview Terrace,1
Lamerica,1
Lammbock,1
Land and Freedom,2
Land of Silence and Darkness,1
Land of Storms,1
Land of the Dead,5
Land of the Lost,2
Lantana,5
Lara Croft Tomb Raider: The Cradle of Life,12
Lara Croft: Tomb Raider,35
Larger Than Life,3
Larry Crowne,2
Lars and the Real Girl,15
Lassie,6
Lassie Come Home,2
Last Action Hero,53
Last Chance Harvey,2
Last Dance,2
Last Days,2
Last Exit to Brooklyn,1
Last Holiday,2
Last Knights,1
Last Life in the Universe,1
Last Man Standing,8
Last Night,3
Last Summer in the Hamptons,1
Last Tango in Paris,5
Last Vegas,2
Last Year at Marienbad,4
Latter Days,1
Laura,26
Laurel Canyon,3
Lavoura Arcaica,1
Law Abiding Citizen,6
Law of Desire,1
Lawless,2
Lawn Dogs,2
Lawnmower Man 2: Beyond Cyberspace,5
Lawrence of Arabia,51
Laws of Attraction,1
Layer Cake,18
Le Cercle Rouge,1
Le Divorce,4
Le Samouraï,12
Lean On Me,8
Leap Year,2
Leap of Faith,3
Leatherface: Texas Chainsaw Massacre III,2
Leatherheads,2
Leave Her to Heaven,2
Leave it to Beaver,2
Leaves of Grass,3
Leaving Las Vegas,101
Left Behind,1
Left Behind II: Tribulation Force,2
Left Behind III: World at War,1
Legal Eagles,4
Legally Blonde,47
"Legally Blonde 2: Red, White & Blonde",6
Legend,16
Legend of the Guardians: The Owls of Ga'Hoole,1
Legend of the Red Dragon,1
Legendary Weapons of China,1
Legends of the Fall,73
Legion,4
Legionnaire,1
Lemony Snicket's A Series of Unfortunate Events,15
Leningrad Cowboys Go America,1
Lenny,4
Leon: The Professional,132
Leonard Cohen: I'm Your Man,1
Leprechaun,2
Leprechaun in the Hood,1
Les Amants du Pont-Neuf,3
Les Girls,2
Les Miserables,13
Les Misérables,19
Less Than Zero,3
Lesson of the Evil,1
Lessons of Darkness,1
Let It Be,2
Let It Ride,1
Let Me In,4
Let the Right One In,9
Let's Be Cops,3
Lethal Weapon,90
Lethal Weapon 2,57
Lethal Weapon 3,39
Lethal Weapon 4,42
Letter from an Unknown Woman,1
Letters from Iwo Jima,11
Letters to Juliet,2
Leviathan,5
Liar Liar,71
Libeled Lady,1
Liberal Arts,1
Liberty Heights,2
Licence to Kill,17
License to Drive,3
License to Wed,2
Life,5
Life After Tomorrow,1
Life As We Know It,1
Life Is Beautiful,99
Life Is Sacred,1
Life Is Sweet,1
Life Is a Miracle,1
Life Itself,1
Life Partners,1
Life Stinks,2
Life With Mikey,2
Life as a House,8
Life in a Day,1
Life of Brian,91
Life of Pi,22
Life or Something Like It,1
Life with Father,1
Lifeboat,11
Lifeforce,2
Light Sleeper,1
Light of Day,2
Lightning Jack,2
Lightning in a Bottle,1
Lights in the Dusk,1
"Like Father, Like Son",1
Like Mike,2
Like Water for Chocolate,62
Lilies of the Field,8
Lilith,1
Lilo & Stitch,21
Lilting,1
Lilya 4-ever,5
Limbo,4
Limelight,6
Limite,1
Limitless,19
Lincoln,7
Linda Linda Linda,1
Lisbela and the Prisoner,1
Listen to Me Marlon,1
Little Big League,6
Little Big Man,18
Little Black Book,1
Little Buddha,10
Little Caesar,1
Little Children,9
Little Dieter Needs to Fly,1
Little Fockers,6
Little Giants,1
Little Lord Fauntleroy,1
Little Man,2
Little Man Tate,7
Little Manhattan,1
Little Miss Broadway,1
Little Miss Sunshine,76
Little Monsters,2
Little Nemo: Adventures In Slumberland,1
Little Nicky,18
Little Nikita,1
Little Odessa,4
Little Otik,1
Little Richard,1
Little Shop of Horrors,45
Little Voice,11
Little Women,54
Live Flesh,3
Live Free or Die Hard,25
Live Nude Girls,3
Live and Let Die,24
Living Out Loud,9
Living in Oblivion,18
Loaded,2
Local Hero,17
"Lock, Stock and Two Smoking Barrels",74
Locke,2
Lockout,1
Logan's Run,28
Lola Montès,1
Lola Versus,1
Lolita,29
London,1
London Boulevard,1
London Has Fallen,1
Lone Star,35
Lone Survivor,4
Lone Wolf and Cub: Baby Cart to Hades,1
Lonely Are the Brave,1
Long Day's Journey Into Night,2
Long Night's Journey Into Day,1
Long-Term Relationship,1
Longtime Companion,3
Look Who's Talking,14
Look Who's Talking Now!,6
Look Who's Talking Too,3
Look at Me,1
Looking for Comedy in the Muslim World,1
Looking for Eric,1
Looking for Mr. Goodbar,1
Looking for Richard,9
Looper,20
Lord Love a Duck,1
Lord of Illusions,13
Lord of War,31
Lord of the Flies,20
Lords of Dogtown,1
Lorenzo's Oil,2
Lorna's Silence,2
Loser,3
Losing Chase,1
Losing Isaiah,4
Lost & Found,3
Lost Embrace,1
Lost Highway,20
Lost Horizon,3
Lost Souls,2
Lost and Delirious,2
Lost in America,3
Lost in La Mancha,5
Lost in Space,26
Lost in Translation,85
Louis C.K.: Chewed Up,6
Louis C.K.: Hilarious,6
Louis C.K.: Live at The Comedy Store,1
Louis C.K.: Live at the Beacon Theater,5
Louis C.K.: Oh My God,3
Louis C.K.: Shameless,9
Louis Theroux: America's Most Hated Family in Crisis,1
Louis Theroux: The Most Hated Family in America,1
Love & Basketball,3
Love & Human Remains,5
Love & Mercy,2
Love & Other Drugs,3
Love & Sex,1
Love Actually,55
Love Affair,9
Love Field,1
Love Is Colder Than Death,1
Love Is Strange,1
Love Is a Many-Splendored Thing,4
Love Is the Devil: Study for a Portrait of Francis Bacon,4
Love Me If You Dare,2
Love Potion No. 9,5
Love Stinks,2
Love Story,4
Love Walked In,1
Love Wrecked,1
Love and Death,13
Love and Death on Long Island,6
Love and Other Catastrophes,1
Love and a .45,1
Love and a Bullet,1
Love in the Afternoon,5
Love on the Run,1
Love the Hard Way,1
Love! Valour! Compassion!,5
Love's Labour's Lost,1
Lovelace,1
Lovely & Amazing,1
Lover Come Back,2
Loverboy,1
Lovers of the Arctic Circle,4
Lovesick,1
Loving You,1
Lucas,7
Lucky Break,1
Lucky Number Slevin,25
Lucky Numbers,4
Lucy,7
Lumumba,3
Luna de Avellaneda,1
Lunacy,1
Lupin the Third: The Castle of Cagliostro,3
Lured,1
"Lust, Caution",2
Luther,2
Luxo Jr.,1
M,21
M*A*S*H,59
M. Butterfly,4
Maborosi,1
